business_name,address,phone,region,district,town,open_date,status
뷰티림,"부산광역시 수영구 구락로 8-4, 3층 301(일부)호 (수영동)",,부산광역시,수영구,구락로,,active
스파로제부산대,"부산광역시 금정구 금정로68번길 31-4, 2층 (장전동)",,부산광역시,금정구,금정로68번길,,active
워터캐슬에스테틱,"경기도 시흥시 정왕대로 174, 광개토빌딩1 지하2층 B201호 일부호 (정왕동)",,경기도,시흥시,정왕대로,,active
도도스킨케어(DoDo Skin Care),"경기도 이천시 장호원읍 장터로83번길 9, 1동 102호",,경기도,이천시,장호원읍,,active
거꾸로가는시간,"인천광역시 부평구 육동로18번길 12-4, 2층 (부평동)",,인천광역시,부평구,육동로18번길,,active
손수테라피,"광주광역시 북구 양산택지로37번길 51, 마루힐센트럴파크 지하1층 B03호 (양산동)",,광주광역시,북구,양산택지로37번길,,active
뷰티다이닝,"서울특별시 광진구 군자로10길 36, 1층 101호 (군자동)",,서울특별시,광진구,군자로10길,,active
에이치앤스파(HN스파),"경기도 시흥시 은계로 260, 우평 라비엔빌딩 6층 601,602호 (은행동)",,경기도,시흥시,은계로,,active
한미인피부관리,"경기도 시흥시 군서로14번길 9, 도고빌딩 1층 일부호 (정왕동)",,경기도,시흥시,군서로14번길,,active
삼선스킨케어,"서울특별시 강남구 선릉로86길 31, 롯데골드로즈2 지하1층 (대치동)",,서울특별시,강남구,선릉로86길,,active
제이뷰티스킨아트,"경기도 성남시 분당구 서현로 192, 야베스밸리 3층 310(일부)호 (서현동)",,경기도,성남시,분당구,,active
로하뷰티#,"울산광역시 중구 구교4길 20, 1층 (반구동)",,울산광역시,중구,구교4길,,active
힐링테라피,"대구광역시 동구 송라로 33, 덕곡빌딩 3층 (신천동)",,대구광역시,동구,송라로,,active
이쁘지요,"경기도 수원시 권선구 상탑로 90, 1층 (서둔동)",,경기도,수원시,권선구,,active
민트2,"제주특별자치도 제주시 애월읍 애월해안로 708, 동양콘도미니엄 지하1층",,제주특별자치도,제주시,애월읍,,active
아이앤,"경기도 수원시 팔달구 권선로 751, 동양파라곤 2단지 201동 2층 201호 (인계동)",,경기도,수원시,팔달구,,active
테라스하우스,"서울특별시 마포구 독막로7길 42, 가물빌딩 4층 (서교동)",,서울특별시,마포구,독막로7길,,active
WAXINGGUN,"서울특별시 강남구 학동로82길 15, 지하1층 (삼성동)",,서울특별시,강남구,학동로82길,,active
라움,"충청남도 천안시 서북구 오성2길 15, 1층 (두정동)",,충청남도,천안시,서북구,,active
살롱드네네,"광주광역시 서구 상무중앙로 84, 상무트윈스 1층 101호 (치평동)",,광주광역시,서구,상무중앙로,,active
민이뷰티,"대구광역시 북구 구암로60길 41, 2층 (구암동)",,대구광역시,북구,구암로60길,,active
가림,"부산광역시 해운대구 해운대로 361, 상가동 3층 303호 (우동, 센텀삼환아파트)",,부산광역시,해운대구,해운대로,,active
미인뷰티샵,"경상북도 포항시 남구 오천읍 남원로 85, 상가3동 1층 104호 (2차부영아파트)",,경상북도,포항시,남구,,active
눈썹연가,"경기도 성남시 분당구 성남대로916번길 7, 서일빌딩 3층 302호 일부(302-1)호 (야탑동)",,경기도,성남시,분당구,,active
정에스테틱,"대전광역시 서구 복수남로36번길 27, 1층 일부 (복수동)",,대전광역시,서구,복수남로36번길,,active
수에스테틱,대전광역시 대덕구 한밭대로1111번길 3 (중리동),,대전광역시,대덕구,한밭대로1111번길,,active
이효정스킨케어,"경기도 고양시 덕양구 통일로770번길 57, 2층 일부호 (관산동)",,경기도,고양시,덕양구,,active
다듬뷰티,"경상남도 김해시 함박로 102, 221호 (외동, 한국2차아파트)",,경상남도,김해시,함박로,,active
잼잼,"부산광역시 남구 수영로 222, 2층 (대연동)",,부산광역시,남구,수영로,,active
피오니스킨케어,"전라남도 순천시 해룡면 매안4길 12, 1층",,전라남도,순천시,해룡면,,active
피부애봄,"경기도 화성시 꽃내음1길 25, 301호 (새솔동)",,경기도,화성시,꽃내음1길,,active
골근테라피 유쓰,"광주광역시 북구 금남로95번길 13, 2층 (유동)",,광주광역시,북구,금남로95번길,,active
ciel beauty(씨엘뷰티),"인천광역시 계양구 안남로519번길 4, 101동 103호 (효성동, 효성동메트하임)",,인천광역시,계양구,안남로519번길,,active
더마센스뷰티,"경기도 성남시 분당구 야탑로 95, 세신옴니코아빌딩 510호 (야탑동)",,경기도,성남시,분당구,,active
눈테라피,"대구광역시 수성구 들안로40안길 20, 1층 (황금동)",,대구광역시,수성구,들안로40안길,,active
켈룬,"대구광역시 중구 명덕로65길 54, 1,2층 (대봉동)",,대구광역시,중구,명덕로65길,,active
예담,"부산광역시 사상구 사상로212번길 38, 2층 (괘법동)",,부산광역시,사상구,사상로212번길,,active
다옴테라피,"대구광역시 수성구 달구벌대로 2268, 2층 (수성동1가)",,대구광역시,수성구,달구벌대로,,active
나나 아이래쉬,"경기도 안산시 상록구 석호로 315, 127동상가 115호 (본오동)",,경기도,안산시,상록구,,active
갈바스킨,"경기도 과천시 별양상가1로 31, 제일상가 409호 (별양동)",,경기도,과천시,별양상가1로,,active
스킨앤바디샾,"전라남도 여수시 문수2길 9-11, 2층 (문수동)",,전라남도,여수시,문수2길,,active
희피부샵,"전라남도 목포시 부흥로 86, 부영아파트 상가동 1층 123호 (옥암동)",,전라남도,목포시,부흥로,,active
소희 슬리밍센터,"경기도 의정부시 천보로 14, 민락 송학글래드스톤 앤 그레이스 모나코 2013호 (민락동)",,경기도,의정부시,천보로,,active
얍느엘뷰티,"세종특별자치시 호려울로 9, 네이버타워 7층 706(일부)호 (보람동)",,세종특별자치시,호려울로,"9,",,active
아이썸,"경기도 안산시 단원구 광덕대로 151, 삼영타운 303호일부 (고잔동)",,경기도,안산시,단원구,,active
더이쁨스킨,"전라남도 목포시 비파로 138, 1층 (상동)",,전라남도,목포시,비파로,,active
오드리 피부,"대전광역시 동구 대동초등1길 6, 지하1층 (대동)",,대전광역시,동구,대동초등1길,,active
라움메디스킨케어,"제주특별자치도 제주시 화삼북로 143, 2층 (삼양이동)",,제주특별자치도,제주시,화삼북로,,active
왁싱해,"충청북도 청주시 흥덕구 서현서로25번길 2, 1층 일부호 (가경동)",,충청북도,청주시,흥덕구,,active
오마이뮤즈,"경기도 시흥시 서울대학로264번길 74, 배곧헤리움 어반크로스 1차 B동 1층 114호 (배곧동)",,경기도,시흥시,서울대학로264번길,,active
자태나,"광주광역시 서구 마륵복개로 102, 2층 (마륵동)",,광주광역시,서구,마륵복개로,,active
오엔오뷰티,"서울특별시 강동구 풍성로 196, 상가동 104호 (성내동, 둔촌역청구아파트)",,서울특별시,강동구,풍성로,,active
아그니아,"경기도 안양시 동안구 시민대로 408, 3층 일부호 (평촌동)",,경기도,안양시,동안구,,active
히얼에스,"서울특별시 관악구 난곡로 358-1, 2층 (신림동)",,서울특별시,관악구,난곡로,,active
호박,"서울특별시 강남구 언주로 325, 선인빌딩 지하1층 (역삼동)",,서울특별시,강남구,언주로,,active
얼짱몸짱(부평점),"인천광역시 부평구 부평문화로 32, 3층 (부평동)",,인천광역시,부평구,부평문화로,,active
티나,"대구광역시 중구 북성로 92, 2층 (북성로1가)",,대구광역시,중구,북성로,,active
슈가앤퍼니&왁싱,"광주광역시 서구 월드컵4강로181번길 31-2, 1층 (쌍촌동)",,광주광역시,서구,월드컵4강로181번길,,active
로뎀에스테틱,"대구광역시 수성구 신매로6길 2-11, 1층 (신매동)",,대구광역시,수성구,신매로6길,,active
약손아로마,"경기도 오산시 오산로 293, 2층 (오산동)",,경기도,오산시,오산로,,active
뷰티아트,"대구광역시 동구 송라로 15, 2층 (신천동)",,대구광역시,동구,송라로,,active
리뉴메디 뷰티샾,"경상남도 통영시 광도면 죽림2로 67, 나동 101호",,경상남도,통영시,광도면,,active
카일리,"서울특별시 강남구 선릉로89길 7, 지상6층 601호 (역삼동)",,서울특별시,강남구,선릉로89길,,active
더블와이,"부산광역시 수영구 무학로52번길 11, 2층 (광안동)",,부산광역시,수영구,무학로52번길,,active
거꾸로가는시간동두천점,"경기도 동두천시 동두천로 129, 내행프라자 303호 (지행동)",,경기도,동두천시,동두천로,,active
